"지점명","평균기온","일강수량"
강릉,-0.5,
강릉,-0.8,
강릉,-0.8,
강릉,-0.9,
강릉,-1,
강릉,-1.1,
강릉,-1.4,
강릉,-1.6,
강릉,-1.9,
강릉,-10.1,
강릉,-10.9,
강릉,-2,
강릉,-2.2,
강릉,-2.4,
강릉,-2.8,
강릉,-3,
강릉,-3,
강릉,-3.8,17.6
강릉,-3.9,
강릉,-4.2,
강릉,-4.3,
강릉,-4.9,
강릉,-5.8,
강릉,-7.4,
강릉,-8.4,
강릉,0.2,
강릉,0.3,
강릉,0.3,8.6
강릉,0.4,
강릉,0.6,0.1
강릉,1.1,
강릉,1.6,
강릉,1.6,
강릉,1.6,0
강릉,1.7,
강릉,10,4.4
강릉,10.2,
강릉,10.2,
강릉,10.3,
강릉,10.5,
강릉,10.6,
강릉,10.6,
강릉,10.6,9.2
강릉,10.7,21.7
강릉,10.8,
강릉,10.8,9.4
강릉,10.9,
강릉,10.9,
강릉,10.9,
강릉,11.1,1
강릉,11.1,43.3
강릉,11.3,
강릉,11.4,23.3
강릉,11.5,
강릉,11.6,
강릉,11.7,
강릉,11.7,
강릉,11.8,0.3
강릉,11.9,
강릉,11.9,0
강릉,11.9,2.7
강릉,12,
강릉,12,6.9
강릉,12.1,
강릉,12.3,
강릉,12.5,
강릉,12.7,
강릉,12.7,9.9
강릉,12.8,
강릉,12.8,
강릉,13,
강릉,13,5.2
강릉,13.1,
강릉,13.1,
강릉,13.2,
강릉,13.3,
강릉,13.4,
강릉,13.4,
강릉,13.4,
강릉,13.4,0.2
강릉,13.5,
강릉,13.6,
강릉,13.6,
강릉,13.6,
강릉,13.7,0.8
강릉,13.8,
강릉,13.8,8.9
강릉,14,
강릉,14,
강릉,14,13
강릉,14,3.2
강릉,14.1,
강릉,14.1,63.5
강릉,14.2,
강릉,14.3,
강릉,14.4,0.6
강릉,14.5,
강릉,14.7,0
강릉,14.7,2.8
강릉,14.8,3.6
강릉,14.9,
강릉,14.9,
강릉,14.9,15.7
강릉,15,
강릉,15,
강릉,15,
강릉,15,0
강릉,15.1,
강릉,15.2,
강릉,15.2,
강릉,15.3,
강릉,15.4,
강릉,15.5,
강릉,15.7,
강릉,15.7,
강릉,15.9,
강릉,16,
강릉,16,
강릉,16.3,11.2
강릉,16.4,0.3
강릉,16.4,7
강릉,16.6,0
강릉,16.7,
강릉,16.7,
강릉,16.8,
강릉,16.8,
강릉,17,
강릉,17,7.3
강릉,17.1,
강릉,17.2,3.5
강릉,17.3,34.6
강릉,17.4,0.5
강릉,17.4,2.2
강릉,17.5,
강릉,17.5,2.6
강릉,17.9,48.8
강릉,18,1.8
강릉,18.1,
강릉,18.4,5.5
강릉,18.5,
강릉,18.5,0.2
강릉,18.5,0.9
강릉,18.6,
강릉,18.7,
강릉,18.8,
강릉,18.9,
강릉,18.9,5.2
강릉,19,
강릉,19.2,
강릉,19.2,
강릉,19.3,14.2
강릉,19.3,4.5
강릉,19.5,
강릉,19.5,
강릉,19.5,5.6
강릉,19.6,0.1
강릉,19.6,14.2
강릉,19.7,0.1
강릉,19.8,2.1
강릉,19.8,4.7
강릉,2.4,
강릉,2.4,4.8
강릉,2.6,
강릉,2.7,
강릉,2.8,
