기온,강수량
-0.1,
-0.3,0.2
-0.6,
-0.8,0.2
-0.9,
-1.3,
-1.6,0.5
-11.7,
-12.1,
-12.2,
-14.5,
-14.9,
-2.2,
-2.6,2
-3.1,
-3.2,3.4
-3.5,0
-3.6,0.1
-3.8,0.3
-3.9,0
-3.9,2.6
-4.1,
-4.2,
-4.9,
-5,
-5.1,1.5
-5.5,0
-5.5,0
-5.6,
-5.6,
-5.6,0
-5.7,2.8
-5.8,
-6.3,
-6.7,
-6.7,
-7.4,2.3
-7.6,0
-7.7,
-8.3,0
-8.8,
0,
0.4,0.2
1.2,
1.2,1.4
1.3,0.1
1.4,
1.4,
1.6,
1.7,
1.7,
1.9,0.4
10.1,
10.2,
10.2,0.2
10.2,8
10.4,
10.4,5.9
10.4,8
10.5,0
10.6,1.7
10.7,0
10.8,
10.8,
10.8,
10.8,
10.9,4.4
11.3,
11.3,0.7
11.3,26.3
11.4,
11.4,
11.5,
11.6,
11.7,
11.7,
11.9,
11.9,
11.9,0
11.9,0.6
12.1,
12.1,0
12.1,25.5
12.2,
12.4,1.7
12.6,
12.6,
12.7,
12.9,
12.9,
13,
13,
13,
13.2,0
13.4,0
13.6,
13.8,
13.8,19.6
13.8,22
13.9,
13.9,0.1
14.1,
14.1,
14.1,
14.1,0.7
14.3,
14.4,8.8
14.5,
14.5,4.7
14.6,
14.6,3.9
14.8,
14.9,56.2
15,
15.2,0.3
15.3,
15.3,
15.3,12.3
15.3,3.1
15.3,8.3
15.4,0.3
15.4,1.7
15.7,
15.7,
15.8,8.9
16,6.9
16.2,
17.7,
17.8,0
17.9,
17.9,
18,0
18.2,
18.3,0
18.4,18.1
18.4,66.9
18.5,
18.5,
18.6,0.2
18.7,0.9
18.8,3.5
18.8,6.4
19,0
19,0
19.1,
19.1,18.1
19.4,
19.4,4.6
19.5,
19.6,
19.6,29.6
19.7,
19.9,
19.9,14.2
19.9,4
2,0
2.2,
2.3,0.1
2.7,
2.7,1.3
2.9,
2.9,
2.9,0
20,6.3
20.2,13.1
20.2,3.2
20.2,4.5
20.3,
20.5,77.4
20.7,
20.8,
20.9,
20.9,
20.9,0.4
21.1,0
21.1,13.3
21.2,
21.4,0.8
21.4,21.4
21.5,1.3
21.5,4.6
21.6,0
21.8,
21.9,0
22,
22,68.1
22.1,15
22.2,1.6
22.3,
22.3,
22.3,12
22.4,0.9
22.4,7.4
22.4,7.5
22.5,1.9
22.6,
22.6,60
22.8,0
22.8,4.5
22.9,
22.9,
22.9,
22.9,3.6
23,
23,
23.1,
23.2,
23.2,
23.3,
23.4,10.5
23.5,
23.5,
23.5,
23.6,
23.6,
23.6,
23.6,
23.6,0
23.6,0.1
23.7,
23.7,
23.7,0.1
23.7,0.9
23.8,62.8
23.9,
23.9,8
24,
24.1,
24.1,
24.2,
24.2,
24.2,0
24.3,
24.3,
24.3,5.6
24.3,6
24.4,0
24.5,38.2
24.6,
24.8,
24.8,
24.8,
24.9,6.1
25,0.3
25.3,
25.5,0
25.5,0.7
25.7,0.4
25.8,
25.9,0.5
25.9,9.3
26,
26,2.9
26.1,
26.3,
26.4,12.7
26.4,67.4
26.5,1.7
26.6,
26.6,0
26.8,0
26.8,12.7
26.9,
27.1,
27.1,21
27.3,0
27.4,0
27.7,
27.9,0
28,
28,0
28.1,
28.1,
28.3,
28.8,
28.8,
28.9,
29.1,0
29.1,0
29.4,
29.6,
29.6,
29.7,
29.8,3
3.2,
3.4,
3.4,
3.6,
3.7,1.2
30.4,0
30.5,
30.5,
31.1,
31.2,
31.2,
31.2,
31.5,
31.7,
4.1,0
4.2,
4.2,0.3
4.4,
4.5,
4.5,0.2
4.5,9.2
4.7,67.5
4.9,2
5,0.7
5.1,
5.2,
5.2,0
5.3,0
5.3,1.7
5.4,
5.5,
5.5,0.1
5.6,
5.7,
5.7,27.2
5.8,0.3
6,
6.2,
6.2,
6.4,0
6.5,
6.5,
6.6,
6.6,
6.7,
6.8,
6.8,
7,
7,0.7
7.2,
7.2,2.1
7.3,
7.3,
7.5,
7.6,
7.6,
7.6,
7.8,
7.8,
7.9,
8.2,
8.4,
8.4,1.3
8.5,
8.6,25.7
8.8,
8.8,
8.8,
9,
9,9.2
9.1,
9.1,
9.2,
9.5,
9.5,
9.5,0
9.6,0
9.6,5.6
9.8,
9.9,
9.9,5.1
