"ªÁøÎ¿œ¿⁄","»£º±∏Ì","ø™∏Ì","Ω¬¬˜√—Ω¬∞¥ºˆ","«œ¬˜√—Ω¬∞¥ºˆ","µÓ∑œ¿œ¿⁄"
"20221127","∞Ê√·º±","∞°∆Ú","1872","1493","20221130"
"20221127","∞Ê√·º±","∞•∏≈","1474","1240","20221130"
"20221127","∞Ê√·º±","∞≠√Ã","651","421","20221130"
"20221127","∞Ê√·º±","±º∫¿ªÍ","175","123","20221130"
"20221127","∞Ê√·º±","±›∞Ó","944","825","20221130"
"20221127","∞Ê√·º±","±Ë¿Ø¡§","380","389","20221130"
"20221127","∞Ê√·º±","≥≤√·√µ","3067","3741","20221130"
"20221127","∞Ê√·º±","¥Îº∫∏Æ","927","431","20221130"
"20221127","∞Ê√·º±","∏∂ºÆ","2562","2341","20221130"
"20221127","∞Ê√·º±","πÈæÁ∏Æ","131","88","20221130"
"20221127","∞Ê√·º±","∫∞≥ª","1960","1614","20221130"
"20221127","∞Ê√·º±","ªÁ∏™","1358","1416","20221130"
"20221127","∞Ê√·º±","ªÛ√µ","320","290","20221130"
"20221127","∞Ê√·º±","Ω≈≥ª","1055","986","20221130"
"20221127","∞Ê√·º±","√µ∏∂ªÍ","1129","1024","20221130"
"20221127","∞Ê√·º±","√ª∆Ú","1737","1303","20221130"
"20221127","∞Ê√·º±","√·√µ","1629","1674","20221130"
"20221127","∞Ê√·º±","≈∞Ëø¯","2187","2122","20221130"
"20221127","∞Ê√·º±","∆Ú≥ª»£∆Ú","3591","3267","20221130"
"20221126","∞Ê√·º±","∞°∆Ú","2035","2217","20221129"
"20221126","∞Ê√·º±","∞•∏≈","2076","1734","20221129"
"20221126","∞Ê√·º±","∞≠√Ã","552","698","20221129"
"20221126","∞Ê√·º±","±º∫¿ªÍ","148","152","20221129"
"20221126","∞Ê√·º±","±›∞Ó","1176","1113","20221129"
"20221126","∞Ê√·º±","±Ë¿Ø¡§","463","575","20221129"
"20221126","∞Ê√·º±","≥≤√·√µ","3411","3624","20221129"
"20221126","∞Ê√·º±","¥Îº∫∏Æ","897","1082","20221129"
"20221126","∞Ê√·º±","∏∂ºÆ","3568","3306","20221129"
"20221126","∞Ê√·º±","πÈæÁ∏Æ","87","112","20221129"
"20221126","∞Ê√·º±","∫∞≥ª","2415","2239","20221129"
"20221126","∞Ê√·º±","ªÁ∏™","1722","1692","20221129"
"20221126","∞Ê√·º±","ªÛ√µ","327","309","20221129"
"20221126","∞Ê√·º±","Ω≈≥ª","1328","1218","20221129"
"20221126","∞Ê√·º±","√µ∏∂ªÍ","1441","1324","20221129"
"20221126","∞Ê√·º±","√ª∆Ú","1822","2039","20221129"
"20221126","∞Ê√·º±","√·√µ","2000","1712","20221129"
"20221126","∞Ê√·º±","≈∞Ëø¯","2838","2606","20221129"
"20221126","∞Ê√·º±","∆Ú≥ª»£∆Ú","4894","4640","20221129"
"20221125","∞Ê√·º±","∞°∆Ú","1941","2127","20221128"
"20221125","∞Ê√·º±","∞•∏≈","3314","2850","20221128"
"20221125","∞Ê√·º±","∞≠√Ã","443","516","20221128"
"20221125","∞Ê√·º±","±º∫¿ªÍ","140","130","20221128"
"20221125","∞Ê√·º±","±›∞Ó","1566","1558","20221128"
"20221125","∞Ê√·º±","±Ë¿Ø¡§","320","396","20221128"
"20221125","∞Ê√·º±","≥≤√·√µ","3606","3116","20221128"
"20221125","∞Ê√·º±","¥Îº∫∏Æ","669","901","20221128"
