"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20221127","7호선","가산디지털단지","11845","10928","20221130"
"20221127","7호선","강남구청","6195","6907","20221130"
"20221127","7호선","건대입구","8371","9259","20221130"
"20221127","7호선","고속터미널","16639","10304","20221130"
"20221127","7호선","공릉(서울과학기술대)","7056","7088","20221130"
"20221127","7호선","광명사거리","12653","12662","20221130"
"20221127","7호선","군자(능동)","8840","6648","20221130"
"20221127","7호선","남구로","7202","7112","20221130"
"20221127","7호선","남성","5999","5814","20221130"
"20221127","7호선","내방","5532","5603","20221130"
"20221127","7호선","노원","11549","11555","20221130"
"20221127","7호선","논현","6035","6153","20221130"
"20221127","7호선","대림(구로구청)","8538","7888","20221130"
"20221127","7호선","도봉산","5291","7566","20221130"
"20221127","7호선","뚝섬유원지","5972","5576","20221130"
"20221127","7호선","마들","6436","5900","20221130"
"20221127","7호선","먹골","5750","5643","20221130"
"20221127","7호선","면목","8316","8112","20221130"
"20221127","7호선","반포","3339","3214","20221130"
"20221127","7호선","보라매","4001","4149","20221130"
"20221127","7호선","사가정","9092","9008","20221130"
"20221127","7호선","상도","8075","7996","20221130"
"20221127","7호선","상봉(시외버스터미널)","10098","9339","20221130"
"20221127","7호선","수락산","8284","8208","20221130"
"20221127","7호선","숭실대입구(살피재)","6589","6963","20221130"
"20221127","7호선","신대방삼거리","7992","8204","20221130"
"20221127","7호선","신풍","6483","6086","20221130"
"20221127","7호선","어린이대공원(세종대)","11891","11198","20221130"
"20221127","7호선","온수(성공회대입구)","4367","4346","20221130"
"20221127","7호선","용마산(용마폭포공원)","3360","3563","20221130"
"20221127","7호선","이수","9279","8696","20221130"
"20221127","7호선","장승배기","4822","4726","20221130"
"20221127","7호선","장암","1464","909","20221130"
"20221127","7호선","중계","7205","6647","20221130"
"20221127","7호선","중곡","5702","5455","20221130"
"20221127","7호선","중화","5984","5794","20221130"
"20221127","7호선","천왕","5483","5380","20221130"
"20221127","7호선","철산","11588","11555","20221130"
"20221127","7호선","청담","7726","8243","20221130"
"20221127","7호선","태릉입구","5398","5243","20221130"
"20221127","7호선","하계","9876","9445","20221130"
"20221127","7호선","학동","7737","8123","20221130"
"20221126","7호선","가산디지털단지","16343","14689","20221129"
"20221126","7호선","강남구청","11477","12776","20221129"
"20221126","7호선","건대입구","12768","13397","20221129"
"20221126","7호선","고속터미널","18189","13960","20221129"
"20221126","7호선","공릉(서울과학기술대)","10232","9581","20221129"
"20221126","7호선","광명사거리","17232","17122","20221129"
"20221126","7호선","군자(능동)","12080","8889","20221129"
"20221126","7호선","남구로","8632","9054","20221129"
"20221126","7호선","남성","8439","7741","20221129"
"20221126","7호선","내방","8699","8636","20221129"
"20221126","7호선","노원","16765","17309","20221129"
"20221126","7호선","논현","10901","11888","20221129"
"20221126","7호선","대림(구로구청)","7896","8550","20221129"
"20221126","7호선","도봉산","6792","9094","20221129"
"20221126","7호선","뚝섬유원지","7444","7024","20221129"
"20221126","7호선","마들","9894","9058","20221129"
"20221126","7호선","먹골","8191","7752","20221129"
"20221126","7호선","면목","11740","11167","20221129"
"20221126","7호선","반포","5203","5044","20221129"
"20221126","7호선","보라매","6105","6021","20221129"
"20221126","7호선","사가정","13248","12434","20221129"
"20221126","7호선","상도","11155","10191","20221129"
"20221126","7호선","상봉(시외버스터미널)","14804","13965","20221129"
"20221126","7호선","수락산","10930","10671","20221129"
