"사용일자","호선명","역명","승차총승객수","하차총승객수","등록일자"
"20221127","5호선","강동","9764","9649","20221130"
"20221127","5호선","강일","2659","2546","20221130"
"20221127","5호선","개롱","3184","3584","20221130"
"20221127","5호선","개화산","2775","2741","20221130"
"20221127","5호선","거여","4811","4777","20221130"
"20221127","5호선","고덕","4525","4543","20221130"
"20221127","5호선","공덕","5319","5571","20221130"
"20221127","5호선","광나루(장신대)","9284","9089","20221130"
"20221127","5호선","광화문(세종문화회관)","14813","15083","20221130"
"20221127","5호선","군자(능동)","7009","7974","20221130"
"20221127","5호선","굽은다리(강동구민회관앞)","5559","5305","20221130"
"20221127","5호선","길동","4299","4382","20221130"
"20221127","5호선","김포공항","6418","6620","20221130"
"20221127","5호선","까치산","16393","15771","20221130"
"20221127","5호선","답십리","8156","7516","20221130"
"20221127","5호선","동대문역사문화공원(DDP)","1068","1194","20221130"
"20221127","5호선","둔촌동","4824","4850","20221130"
"20221127","5호선","마곡","3872","4036","20221130"
"20221127","5호선","마장","3155","3074","20221130"
"20221127","5호선","마천","3785","4094","20221130"
"20221127","5호선","마포","5559","5801","20221130"
"20221127","5호선","명일","5296","5334","20221130"
"20221127","5호선","목동","8187","8464","20221130"
"20221127","5호선","미사","9415","9538","20221130"
"20221127","5호선","발산","10778","11136","20221130"
"20221127","5호선","방이","4288","3999","20221130"
"20221127","5호선","방화","3647","3558","20221130"
"20221127","5호선","상일동","6702","6650","20221130"
"20221127","5호선","서대문","6009","5922","20221130"
"20221127","5호선","송정","3743","3715","20221130"
"20221127","5호선","신금호","3095","3447","20221130"
"20221127","5호선","신길","2179","2329","20221130"
"20221127","5호선","신정(은행정)","6688","5962","20221130"
"20221127","5호선","아차산(어린이대공원후문)","10434","10217","20221130"
"20221127","5호선","애오개","2809","2863","20221130"
"20221127","5호선","양평","2889","2859","20221130"
"20221127","5호선","여의나루","10634","13158","20221130"
"20221127","5호선","여의도","10867","10645","20221130"
"20221127","5호선","영등포구청","1567","1425","20221130"
"20221127","5호선","영등포시장","6656","7131","20221130"
"20221127","5호선","오금","1641","1506","20221130"
"20221127","5호선","오목교(목동운동장앞)","11941","12309","20221130"
"20221127","5호선","올림픽공원(한국체대)","4647","3712","20221130"
"20221127","5호선","왕십리(성동구청)","2637","3141","20221130"
"20221127","5호선","우장산","7249","7362","20221130"
"20221127","5호선","을지로4가","2192","2216","20221130"
"20221127","5호선","장한평","8889","8791","20221130"
"20221127","5호선","종로3가","10945","9695","20221130"
"20221127","5호선","천호(풍납토성)","13592","12575","20221130"
"20221127","5호선","청구","1937","1858","20221130"
"20221127","5호선","충정로(경기대입구)","1673","1565","20221130"
